class,Max_Ecio,Min_Ecio,Std_Ecio,Max_Rscp,Std_Rscp
no,-25.000000,-25.000000, 0.000000,-85.000000, 1.400565
no,-25.000000,-25.000000, 0.000000,-85.000000, 1.430499
no,-25.000000,-25.000000, 0.000000,-86.000000, 1.268454
no,-25.000000,-25.000000, 0.000000,-86.000000, 1.501343
no,-25.000000,-25.000000, 0.000000,-85.000000, 1.976529
no,-25.000000,-25.000000, 0.000000,-85.000000, 1.862204
no,-25.000000,-25.000000, 0.000000,-85.000000, 1.592116
no,-25.000000,-25.000000, 0.000000,-84.000000, 1.457011
no,-25.000000,-25.000000, 0.000000,-84.000000, 1.299357
no,-25.000000,-25.000000, 0.000000,-84.000000, 1.399325
no,-25.000000,-25.000000, 0.000000,-84.000000, 1.105013
no,-25.000000,-25.000000, 0.000000,-85.000000, 1.525173
no,-25.000000,-25.000000, 0.000000,-85.000000, 1.497179
no,-25.000000,-25.000000, 0.000000,-85.000000, 1.527155
no,-25.000000,-25.000000, 0.000000,-82.000000, 1.794530
no,-25.000000,-25.000000, 0.000000,-82.000000, 1.886986
no,-25.000000,-25.000000, 0.000000,-82.000000, 2.108750
no,-25.000000,-25.000000, 0.000000,-84.000000, 2.061553
no,-25.000000,-25.000000, 0.000000,-83.000000, 1.778359
no,-25.000000,-25.000000, 0.000000,-83.000000, 1.844739
no,-25.000000,-25.000000, 0.000000,-83.000000, 1.718214
no,-25.000000,-25.000000, 0.000000,-84.000000, 1.655417
no,-25.000000,-25.000000, 0.000000,-84.000000, 1.369915
no,-25.000000,-25.000000, 0.000000,-84.000000, 1.173788
no,-25.000000,-25.000000, 0.000000,-78.000000, 3.379804
no,-25.000000,-25.000000, 0.000000,-78.000000, 2.591872
no,-25.000000,-25.000000, 0.000000,-78.000000, 2.365439
no,-25.000000,-25.000000, 0.000000,-79.000000, 2.327191
no,-25.000000,-25.000000, 0.000000,-79.000000, 2.515469
no,-25.000000,-25.000000, 0.000000,-83.000000, 2.303843
no,-25.000000,-25.000000, 0.000000,-82.000000, 1.643168
no,-25.000000,-25.000000, 0.000000,-79.000000, 2.441311
no,-25.000000,-25.000000, 0.000000,-78.000000, 2.596719
yes,-25.000000,-25.000000, 0.000000,-78.000000, 2.622955
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.499798
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.161802
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.164056
no,-25.000000,-25.000000, 0.000000,-80.000000, 1.903685
no,-25.000000,-25.000000, 0.000000,-76.000000, 2.686960
yes,-25.000000,-25.000000, 0.000000,-76.000000, 2.698665
yes,-25.000000,-25.000000, 0.000000,-76.000000, 2.608428
yes,-25.000000,-25.000000, 0.000000,-77.000000, 2.503958
yes,-25.000000,-25.000000, 0.000000,-77.000000, 2.613695
no,-25.000000,-25.000000, 0.000000,-77.000000, 2.436896
yes,-25.000000,-25.000000, 0.000000,-79.000000, 1.032796
yes,-25.000000,-25.000000, 0.000000,-79.000000, 2.396579
yes,-25.000000,-25.000000, 0.000000,-77.000000, 3.603975
yes,-25.000000,-25.000000, 0.000000,-77.000000, 3.131724
yes,-25.000000,-25.000000, 0.000000,-77.000000, 3.117037
no,-25.000000,-25.000000, 0.000000,-80.000000, 2.190890
yes,-25.000000,-25.000000, 0.000000,-79.000000, 2.579456
yes,-25.000000,-25.000000, 0.000000,-79.000000, 2.131584
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.449128
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.313007
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.301614
yes,-25.000000,-25.000000, 0.000000,-77.000000, 1.997353
yes,-25.000000,-25.000000, 0.000000,-80.000000, 0.927961
no,-25.000000,-25.000000, 0.000000,-75.000000, 2.394438
no,-25.000000,-25.000000, 0.000000,-75.000000, 2.694620
no,-25.000000,-25.000000, 0.000000,-75.000000, 2.424626
no,-25.000000,-25.000000, 0.000000,-74.000000, 2.750071
no,-25.000000,-25.000000, 0.000000,-74.000000, 2.592324
yes,-25.000000,-25.000000, 0.000000,-66.000000, 4.758366
yes,-25.000000,-25.000000, 0.000000,-66.000000, 3.933660
yes,-25.000000,-25.000000, 0.000000,-66.000000, 3.729479
yes,-25.000000,-25.000000, 0.000000,-69.000000, 2.841098
yes,-25.000000,-25.000000, 0.000000,-69.000000, 2.619400
yes,-25.000000,-25.000000, 0.000000,-69.000000, 2.644945
yes,-25.000000,-25.000000, 0.000000,-70.000000, 2.306179
yes,-25.000000,-25.000000, 0.000000,-68.000000, 3.048983
yes,-25.000000,-25.000000, 0.000000,-66.000000, 3.555913
yes,-25.000000,-25.000000, 0.000000,-66.000000, 3.714609
yes,-25.000000,-25.000000, 0.000000,-66.000000, 1.175139
yes,-25.000000,-25.000000, 0.000000,-70.000000, 2.668749
yes,-25.000000,-25.000000, 0.000000,-68.000000, 3.504513
yes,-25.000000,-25.000000, 0.000000,-68.000000, 3.354193
yes,-25.000000,-25.000000, 0.000000,-68.000000, 3.604924
no,-25.000000,-25.000000, 0.000000,-70.000000, 3.535076
no,-25.000000,-25.000000, 0.000000,-67.000000, 3.872268
yes,-25.000000,-25.000000, 0.000000,-67.000000, 3.624661
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.368606
yes,-25.000000,-25.000000, 0.000000,-74.000000, 2.190616
yes,-25.000000,-25.000000, 0.000000,-74.000000, 19.265068
yes,-25.000000,-25.000000, 0.000000,-74.000000, 20.791873
no,-25.000000,-25.000000, 0.000000,-74.000000, 20.097066
no,-25.000000,-25.000000, 0.000000,-75.000000, 19.803437
yes,-25.000000,-25.000000, 0.000000,-69.000000, 3.511134
yes,-25.000000,-25.000000, 0.000000,-69.000000, 3.276476
yes,-25.000000,-25.000000, 0.000000,-69.000000, 4.188468
yes,-25.000000,-25.000000, 0.000000,-70.000000, 3.826757
yes,-25.000000,-25.000000, 0.000000,-71.000000, 3.526494
yes,-25.000000,-25.000000, 0.000000,-71.000000, 2.828189
no,-25.000000,-25.000000, 0.000000,-71.000000, 2.715037
no,-25.000000,-25.000000, 0.000000,-70.000000, 3.381346
no,-25.000000,-25.000000, 0.000000,-70.000000, 2.698947
no,-25.000000,-25.000000, 0.000000,-70.000000, 3.186329
no,-25.000000,-25.000000, 0.000000,-74.000000, 3.145214
no,-25.000000,-25.000000, 0.000000,-76.000000, 2.679141
no,-25.000000,-25.000000, 0.000000,-75.000000, 2.669155
no,-25.000000,-25.000000, 0.000000,-75.000000, 2.292468
no,-25.000000,-25.000000, 0.000000,-73.000000, 3.465705
yes,-25.000000,-25.000000, 0.000000,-73.000000, 3.104249
yes,-25.000000,-25.000000, 0.000000,-73.000000, 2.596198
yes,-25.000000,-25.000000, 0.000000,-74.000000, 2.610827
no,-25.000000,-25.000000, 0.000000,-74.000000, 2.579505
yes,-25.000000,-25.000000, 0.000000,-74.000000, 2.995616
yes,-25.000000,-25.000000, 0.000000,-74.000000, 2.973069
yes,-25.000000,-25.000000, 0.000000,-74.000000, 3.187314
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.756958
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.751962
no,-25.000000,-25.000000, 0.000000,-75.000000, 2.281347
no,-25.000000,-25.000000, 0.000000,-75.000000, 2.382717
no,-25.000000,-25.000000, 0.000000,-77.000000, 2.075366
no,-25.000000,-25.000000, 0.000000,-77.000000, 2.303865
yes,-25.000000,-25.000000, 0.000000,-77.000000, 2.219880
yes,-25.000000,-25.000000, 0.000000,-79.000000, 2.076588
yes,-25.000000,-25.000000, 0.000000,-80.000000, 2.037699
yes,-25.000000,-25.000000, 0.000000,-77.000000, 2.344584
yes,-25.000000,-25.000000, 0.000000,-77.000000, 2.070000
no,-25.000000,-25.000000, 0.000000,-77.000000, 2.353772
no,-25.000000,-25.000000, 0.000000,-78.000000, 2.419028
no,-25.000000,-25.000000, 0.000000,-78.000000, 2.473532
no,-25.000000,-25.000000, 0.000000,-80.000000, 1.842098
